station-name,is-accessible,borough,lines,number-of-elevators,is-northbound-only,is-southbound-only,,
Canarsie/Rockaway Pkwy,1,brooklyn,l,1,,,,
Carroll St,,,,,,,,
Castle Hill Av,,,,,,,,
Cathedral Pkwy,,,,,,,,
Cathedral Pkwy (110 St),,,,,,,,
Central,,,,,,,,
Central Park North (110 St),,,,,,,,
Chambers St,1,manhattan,123,1,,,,
Chauncey St,,,,,,,,
Christopher St/Sheridan Sq,,,,,,,,
Church Av,1,brooklyn,25,2,1,1,,
Church Av,1,brooklyn,fg,1,,,,
City Hall,,,,,,,,
Clark St,,,,,,,,
Classon Av,,,,,,,,
Cleveland St,,,,,,,,
Clinton/Washington Avs,,,,,,,,
Coney Island/Stillwell Av,1,brooklyn,dfnq,2,,,,
Cortelyou Rd,,,,,,,,
Cortland St,1,manhattan,r,1,,,,
Court Sq - 23 St,,,,,,,,
Court Square,1,queens,7g,1,,,,
Court St,,,,,,,,
Crescent St,,,,,,,,
Crown Hts/Utica Av,1,brooklyn,34,1,,,,
Cypress Av,,,,,,,,
Cypress Hills,,,,,,,,
DeKalb Av,1,brooklyn,bqrdn,1,,,,
Delancey/Essex,,,,,,,,
Ditmas Av,,,,,,,,
Dyckman St,1,manhattan,1,1,,1,,
E 143 St/St Mary's St,,,,,,,,
E 149 St,,,,,,,,
E 180 St,1,bronx,25,1,,,,
East 105 St,,,,,,,,
East Broadway,,,,,,,,
Eastchester/Dyre Av,,,,,,,,
Eastern Pkwy/Brooklyn Museum,,,,,,,,
Elder Av,,,,,,,,
Elmhurst Av,,,,,,,,
Euclid Ave,1,brooklyn,ac,1,,,,
Far Rockaway-Mott Av,1,queens,a,1,,
Flatbush Av/Brooklyn College,1,brooklyn,25,1,,,,
Flushing,,,,,,,,
Flushing - Main St,1,queens,7,1,,,,
Flushing Av,1,brooklyn,jm,1,,,,
Fordham Rd,1,bronx,4,1,,,,
Forest,,,,,,,,
Forest Hills/71 Av,1,queens,efmr,1,,,,
Fort Hamilton Pkwy,,,,,,,,
Franklin Av,1,brooklyn,csa,2,1,1,,
Franklin St,,,,,,,,
Freeman St,,,,,,,,
Fresh Pond,,,,,,,,
Fulton St,1,manhattan,acjzr2345,1,,,,
Gates Av,,,,,,,,
Graham Av,,,,,,,,
Grand Army Plaza,,,,,,,,
Grand Av/Newton,,,,,,,,
Grand Central/42 St,1,manhattan,4567,4,,,,
Grand St,,,,,,,,
Grant Ave,,,,,,,,
Greenpoint Av,,,,,,,,
Gun Hill Rd,1,bronx,25,1,,,,
Halsey St,,,,,,,,
Harlem/148 St,,,,,,,,
Hewes St,,,,,,,,
High Street,,,,,,,,
Houston St,,,,,,,,
Howard Beach - JFK Airport,1,queens,a,1,,,,
Hoyt St,,,,,,,,
Hoyt St. - Schermerhorn St.,,,,,,,,
Hunters Point Av,,,,,,,,
Hunts Point Av,1,bronx,6,1,,,,
Intervale Av,,,,,,,,
Inwood-207th St.,1,manhattan,a,1,,,,
Jackson Av,,,,,,,,
Jackson Hts/Roosevelt Av,1,queens,efmr,4,2,2,,
Jamaica 179 St,1,queens,f,1,,,,
Jamaica Center Parsons/Archer,1,queens,ejz,1,,,,
Jamaica Van Wyck,1,queens,e,1,,,,
Jay St/MetroTech,1,brooklyn,acfrn,1,,,,
Jefferson St,,,,,,,,
Junction Blvd,1,queens,7,3,1,1,,
Junius St,,,,,,,,
Kew Gardens Union Tpke,1,queens,ef,1,,,,
Kings Hwy,1,brooklyn,bq,1,,,,
Kingsbridge Rd,1,bronx,bd,1,,,,
Kingston Av,,,,,,,,
Kingston Throop Avs,,,,,,,,
Knickerbocker,,,,,,,,
Kosciuszko St,,,,,,,,
Lafayette Av,,,,,,,,
Lexington Av/59 St,,,,,,,,
Lexington Av/53 St,1,manhattan,,,,,,
Lexington Av/63 St,1,manhattan,f,1,,,,
Liberty Av,,,,,,,,
Livonia Av,,,,,,,,
Longwood Av,,,,,,,,
Lorimer St,,,,,,,,
Marble Hill/225 St,,,,,,,,
Marcy Av,1,brooklyn,jmz,1,,,,
Metropolitan Av,,,,,,,,
Mets - Willets Point,,,,,,,,
Middle Village/Metropolitan,1,queens,m,0,,,,
Middletown Rd,,,,,,,,
Montrose Av,,,,,,,,
Morgan Av,,,,,,,,
Morris Park,,,,,,,,
Morrison Av/Soundview,,,,,,,,
Moshulu Pkwy,,,,,,,,
Mt Eden Av,,,,,,,,
Myrtle Av,,,,,,,,
Myrtle/Willoughby Avs,,,,,,,,
Myrtle/Wyckoff,1,brooklyn,lm,1,,,,
Nassau Av,,,,,,,,
Neck Rd,,,,,,,,
Neptune Av,,,,,,,,
Nereid Av,,,,,,,,
Nevins St,,,,,,,,
New Lots Av,,,,,,,,
New Utrecht Av,,,,,,,,
Newkirk Av,,,,,,,,
Newkirk Plaza,,,,,,,,
Northern Blvd,,,,,,,,
Northern Boulevard,,,,,,,,
Norwood 205 St,,,,,,,,
Norwood Av,,,,,,,,
Nostrand Ave,,,,,,,,
Ocean Pkwy,,,,,,,,
Ozone Park-Lefferts Blvd,1,queens,a,1,,
Park Place,1,brooklyn,s,0,,,,
Parkchester,,,,,,,,
Parkside Av,,,,,,,,
Parsons Blvd,,,,,,,,
Pelham Bay Park,1,bronx,6,1,,,,
Pelham Parkway,1,bronx,25,1,,,,
Pennsylvania Av,,,,,,,,
President St,,,,,,,,
Prince St,,,,,,,,
Prospect Av,,,,,,,,
Prospect Park,1,brooklyn,bqs,1,,,,
Queens Plaza,1,queens,emr,1,,,,
Queensboro Plaza,,,,,,,,
Ralph Av,,,,,,,,
Rector St,,,,,,,,
Rockaway Av,,,,,,,,
Rockaway Blvd., 88th St., 80th St.,,,,,,,,
Rockaway Park/Beach 116th St.,1,queens,a,0,,,,
Roosevelt Island,1,manhattan,f,1,,,,
Saratoga Av,,,,,,,,
Seneca,,,,,,,,
Sheepshead Bay,,,,,,,,
Shepherd Av,,,,,,,,
Simpson St,1,bronx,25,2,1,1,,
Smith/9 Sts,,,,,,,,
South Ferry,,manhattan,1,,,,,
Spring St,,,,,,,,
St Lawrence Av,,,,,,,,
Steinway St,,,,,,,,
Sterling St,,,,,,,,
Sutphin Blvd,,,,,,,,
Sutphin Blvd/Archer Av/JFK Airport,1,queens,ejz,1,,,,
Sutter Av,,,,,,,,
Sutter Av - Rutland Rd,,,,,,,,
Times Sq-42 St,1,manhattan,nqrw1237,1,,,,
Tremont Av,,,,,,,,
Union St,,,,,,,,
Utica Av,1,brooklyn,ac,1,,,,
Van Cortlandt Park/242 St,,,,,,,,
Van Siclen Av,,,,,,,,
Vernon Blvd/Jackson Av,,,,,,,,
W 4 St/Wash Sq,,,,,,,,
Wakefield/241 St,,,,,,,,
Wall St,,,,,,,,
Washington Hts - 168th St. ,,,,,,,,
West 4/Washington Square,,,,,,,,
West 4th St.,1,manhattan,abcdefm,2,,,,
West 8 St/NY Aquarium,,,,,,,,
West Farms Sq/E Tremont Av,,,,,,,,
Westchester Sq/East Tremont Av,,,,,,,,
Whitehall St/South Ferry,,,,,,,,
Whitlock Av,,,,,,,,
Wilson Av,1,brooklyn,l,0,,,,
Winthrop St,,,,,,,,
Woodhaven Blvd,,,,,,,,
Woodlawn,,,,,,,,
World Trade Center,1,manhattan,e,1,,,,
York St,,,,,,,,
Zerega Av,,,,,,,,
